table0_id;table1_id;table2_id;Amount
0;0;0;337
1;1;1;594
2;2;2;322
3;3;3;449
4;4;4;559
5;5;5;415
6;6;6;735
7;7;7;870
8;8;8;855
9;9;9;365
10;10;10;515
11;11;11;559
12;12;12;911
13;13;13;874
14;14;14;498
15;15;15;695
16;16;16;394
17;17;17;347
18;18;18;780
19;19;19;890
20;20;20;354
21;21;21;311
22;22;22;846
23;23;23;789
24;24;24;903
25;25;25;565
26;26;26;639
27;27;27;818
28;28;28;747
29;29;29;727
30;30;30;567
31;31;31;485
32;32;32;700
33;33;33;320
34;34;34;307
35;35;35;627
36;36;36;358
37;37;37;368
38;38;38;844
39;39;39;396
40;40;40;986
41;41;41;919
42;42;42;492
43;43;43;883
44;44;44;315
45;45;45;571
46;46;46;557
47;47;47;896
48;48;48;978
49;49;49;483
50;50;50;875
51;51;51;725
52;52;52;655
53;53;53;407
54;54;54;326
55;55;55;575
56;56;56;367
57;57;57;797
58;58;58;582
59;59;59;537
60;60;60;396
61;61;61;703
62;62;62;920
63;63;63;549
64;64;64;341
65;65;65;794
66;66;66;901
67;67;67;512
68;68;68;956
69;69;69;930
70;70;70;600
71;71;71;935
72;72;72;496
73;73;73;819
74;74;74;564
75;75;75;936
76;76;76;547
77;77;77;896
78;78;78;822
79;79;79;446
80;80;80;686
81;81;81;644
82;82;82;433
83;83;83;948
84;84;84;434
85;85;85;413
86;86;86;465
87;87;87;683
88;88;88;528
89;89;89;673
90;90;90;534
91;91;91;522
92;92;92;726
93;93;93;572
94;94;94;824
95;95;95;322
96;96;96;363
97;97;97;359
98;98;98;776
99;99;99;431
100;100;100;656
101;101;101;950
102;102;102;548
103;103;103;759
104;104;104;752
105;105;105;444
106;106;106;855
107;107;107;329
108;108;108;689
109;109;109;694
110;110;110;704
111;111;111;450
112;112;112;777
113;113;113;668
114;114;114;834
115;115;115;651
116;116;116;862
117;117;117;310
118;118;118;744
119;119;119;811
120;120;120;567
121;121;121;860
122;122;122;676
123;123;123;388
124;124;124;448
125;125;125;552
126;126;126;946
127;127;127;998
128;128;128;314
129;129;129;895
130;130;130;705
131;131;131;967
132;132;132;465
133;133;133;672
134;134;134;529
135;135;135;377
136;136;136;834
137;137;137;685
138;138;138;603
139;139;139;502
140;140;140;525
141;141;141;605
142;142;142;490
143;143;143;408
144;144;144;535
145;145;145;646
146;146;146;807
147;147;147;568
148;148;148;714
149;149;149;663
150;150;150;993
151;151;151;832
152;152;152;940
153;153;153;495
154;154;154;575
155;155;155;895
156;156;156;955
157;157;157;548
158;158;158;792
159;159;159;337
160;160;160;761
161;161;161;326
162;162;162;835
163;163;163;791
164;164;164;877
165;165;165;633
166;166;166;547
167;167;167;501
168;168;168;575
169;169;169;373
170;170;170;835
171;171;171;453
172;172;172;444
173;173;173;901
174;174;174;368
175;175;175;716
176;176;176;356
177;177;177;551
178;178;178;955
179;179;179;738
180;180;180;921
181;181;181;774
182;182;182;483
183;183;183;392
184;184;184;362
185;185;185;915
186;186;186;741
187;187;187;712
188;188;188;986
189;189;189;399
190;190;190;449
191;191;191;492
192;192;192;856
193;193;193;868
194;194;194;981
195;195;195;367
196;196;196;582
197;197;197;808
198;198;198;599
199;199;199;521
200;200;200;403
201;201;201;707
202;202;202;357
203;203;203;982
204;204;204;396
205;205;205;912
206;206;206;580
207;207;207;511
208;208;208;475
209;209;209;955
210;210;210;849
211;211;211;400
212;212;212;349
213;213;213;316
214;214;214;436
215;215;215;798
216;216;216;658
217;217;217;945
218;218;218;557
219;219;219;483
220;220;220;562
221;221;221;514
222;222;222;307
223;223;223;868
224;224;224;915
225;225;225;408
226;226;226;555
