table0_id;table0A;table0B;table0C;table0D;table0E
0;557;41;433;169;87
1;962;272;26;323;246
2;27;631;922;682;675
3;197;311;762;302;785
4;414;915;922;135;307
5;321;941;787;402;613
6;838;91;211;162;195
7;717;232;768;193;841
8;301;154;117;427;860
9;966;846;695;572;552
10;993;518;971;933;273
11;924;238;221;407;912
12;972;983;652;437;386
13;648;25;312;78;817
14;959;66;903;211;828
15;578;293;897;945;860
16;71;832;852;668;279
17;825;103;909;673;162
18;93;892;747;294;792
19;785;68;375;165;835
20;906;793;571;425;303
21;853;233;6;523;309
22;593;603;444;810;721
23;756;415;639;441;949
24;715;227;846;304;500
25;803;803;314;701;479
26;810;255;345;489;499
27;435;206;961;235;116
28;168;529;341;518;111
29;659;870;475;114;730
30;688;151;683;178;245
31;460;543;967;354;99
32;858;531;250;927;512
33;750;130;836;952;597
34;458;594;184;659;790
35;469;291;676;827;500
36;987;116;828;281;238
37;450;394;610;973;358
38;411;692;703;634;454
39;349;119;569;931;295
40;875;240;647;372;222
41;477;635;927;58;113
42;552;588;111;419;934
43;359;201;591;127;319
44;854;642;993;888;305
45;273;84;781;47;402
46;341;784;270;695;973
47;634;96;393;115;180
48;732;197;234;728;721
49;602;494;512;180;858
50;500;795;313;786;72
51;952;812;3;995;768
52;683;788;480;595;291
53;712;897;52;683;465
54;744;114;31;831;455
55;231;536;470;33;24
56;567;181;481;36;266
57;445;63;910;125;103
58;591;80;321;233;635
59;126;409;478;77;351
60;640;302;464;457;653
61;195;430;420;405;212
62;504;12;310;187;77
63;437;287;851;237;7
64;978;631;151;745;864
65;281;692;139;841;5
66;633;976;777;829;173
67;180;131;965;664;432
68;967;748;103;367;611
69;979;764;828;902;77
70;701;641;444;615;441
71;21;856;295;58;249
72;55;30;311;322;695
73;867;880;574;99;409
74;450;436;590;133;649
75;215;770;328;845;254
76;659;168;794;540;721
77;469;651;400;296;751
78;18;701;432;530;907
79;444;687;451;793;177
80;895;903;14;735;610
81;151;567;634;43;861
82;575;219;433;817;117
83;791;407;321;295;286
84;134;159;443;803;154
85;111;875;223;226;882
86;863;528;471;134;433
87;118;151;881;206;130
88;927;993;81;770;9
89;703;675;732;441;555
90;886;191;964;375;173
91;392;78;687;614;120
92;841;128;411;265;296
93;712;458;464;393;111
94;198;469;440;279;605
95;988;560;10;430;904
96;700;929;679;675;372
97;671;864;127;768;97
98;304;824;251;663;535
99;445;787;444;30;210
100;133;833;795;329;905
101;206;175;45;854;551
102;524;439;250;37;204
103;875;34;324;369;240
104;956;190;529;541;596
105;615;774;555;219;996
106;574;841;817;451;558
107;123;704;596;385;726
108;576;854;52;471;872
109;379;774;132;527;958
110;428;180;460;282;488
111;542;303;840;919;117
112;970;555;984;127;376
113;188;344;54;222;133
114;259;298;662;601;713
115;792;482;578;178;835
116;305;47;849;902;350
117;912;700;123;972;728
118;876;652;494;595;634
119;931;351;533;410;585
120;802;464;484;530;837
121;824;204;845;753;931
122;515;970;713;711;943
123;796;613;509;222;885
124;105;113;508;527;564
125;448;526;71;647;482
126;523;687;37;487;858
127;337;436;460;540;189
128;736;15;654;18;61
129;473;160;860;430;365
130;941;557;244;856;580
131;132;911;454;106;799
132;717;811;233;676;683
133;691;228;505;749;411
134;410;516;694;502;823
135;111;475;255;262;994
136;839;928;731;141;895
137;157;569;306;683;289
138;327;224;182;575;596
139;728;619;498;791;236
140;223;511;324;637;467
141;287;326;217;759;972
142;719;483;994;150;996
143;827;516;230;182;529
144;830;871;661;265;477
145;851;10;849;848;638
146;768;49;233;223;133
147;650;268;596;596;428
148;821;895;640;415;812
149;835;125;920;181;925
150;922;573;767;278;493
151;888;432;86;861;837
152;302;796;149;901;452
153;802;285;976;802;168
154;384;825;861;568;438
155;295;357;696;234;295
156;246;828;178;48;460
157;120;207;379;68;777
158;67;639;418;644;850
159;40;475;443;48;82
160;983;144;463;359;12
161;938;168;41;539;33
162;15;207;902;850;345
163;841;779;33;278;116
164;583;493;148;185;856
165;759;555;429;490;397
166;269;157;761;822;759
167;990;811;87;403;240
168;414;284;442;852;603
169;650;763;458;847;330
170;894;95;571;773;392
171;857;387;317;656;495
172;824;951;173;114;887
173;347;251;931;106;581
174;755;133;282;543;803
175;648;69;34;403;553
176;243;859;248;831;705
177;697;411;290;408;273
178;185;532;971;105;550
179;61;108;763;874;437
180;717;518;490;242;694
181;880;323;412;141;243
182;280;37;222;570;620
183;192;371;685;861;568
184;596;571;719;107;465
185;373;665;391;682;321
186;583;979;390;230;327
187;640;802;708;272;612
188;84;277;340;557;87
189;602;730;624;133;289
190;514;453;764;918;626
191;435;356;13;810;456
192;238;461;631;300;268
193;273;957;59;383;740
194;775;702;728;647;773
195;503;525;975;381;372
196;403;161;670;426;179
197;285;235;218;656;336
198;357;266;484;967;745
199;915;229;577;682;205
200;453;26;407;129;952
201;430;145;793;139;673
202;648;838;772;9;692
203;321;121;576;500;944
